ID,USER_ID,CARACTERISTICA_ID
10059,2,28
10060,2,654
10061,2,655
10062,2,502
10063,2,455
10064,2,539
10065,2,515
9588,1,750009
10066,2,4008
10067,2,249
10068,2,608184
10069,2,608182
10070,2,608183
10071,2,608187
10072,2,166
10073,2,247
10208,7,750013
10209,7,17
9606,5,608180
9607,5,608198
9608,5,608197
9609,5,608194
9610,5,237
9611,5,150
9612,5,240
9613,5,4009
9614,5,4007
9615,5,3955
9616,5,652
9617,5,566
10229,4,304
10230,4,608186
10231,4,757
10232,4,452
10233,4,4071
10234,4,4084
10235,4,4081
10097,8,400
10098,8,43
10048,9,419
10049,9,439
10050,9,4007
10051,9,150
10052,9,407
10053,9,993
10054,9,49
9634,3,750013
9635,3,750090
9636,3,407
9637,3,1996
9638,3,1461
9639,3,410
9640,3,409
9641,3,49
9642,3,750087
9643,3,608187
9644,3,608181
9645,3,171
9863,10,723
9864,10,150
9865,10,237
9866,10,608183
9867,10,608189
9868,10,608197
9869,10,407
9870,10,4007
9871,10,419
9872,10,439
10210,7,14
10211,7,502
9796,11,608196
10212,7,961
10213,7,11
9797,11,150
9798,11,439
9799,11,722
9800,11,608183
9801,11,262
9802,11,608180
9803,11,4082
9822,12,750009
9823,12,4085
9824,12,1799
9825,12,1391
9826,12,262
9827,12,608183
9828,12,608194
9829,12,439
9830,12,482
9831,12,723
9832,12,4007
9804,11,4007
9833,12,407
9839,13,439
9840,13,2008
9841,13,455
9842,13,608183
9843,13,608194
9844,13,2228
9845,13,608189
9737,14,608197
9846,13,262
9847,13,608195
9738,14,608194
9739,14,608189
9740,14,608184
9741,14,439
9742,14,262
9743,14,206
9834,12,438
9848,13,529
9736,14,608183
9835,12,4008
9849,13,419
9850,13,722
10055,9,238
10056,9,4066
9861,10,720
9873,10,3955
10214,7,8
10215,7,18
10043,6,216
10044,6,750009
10045,6,993
10041,6,49
9794,11,4080
9795,11,608194
9836,12,4009
9820,12,4083
9821,12,608196
9837,13,4077
9838,13,4081
10046,9,848
9862,10,722
10216,7,15
10217,7,16
10218,7,12
10219,7,9
10220,7,400
10221,7,496
10222,7,43
10223,7,180
10224,7,3853
10225,7,3874
10226,7,306
10227,7,750091
10228,4,608199
10095,8,407
10096,8,502
10057,2,402
10058,2,407
10047,9,4073
10099,8,86
10100,8,180
10101,8,3853
10102,8,3874
10103,8,306
10104,8,256
10105,8,196
10106,8,189
10107,8,45
10108,8,194
10109,8,184
10110,8,247
10111,8,750091
10112,8,3941
10113,8,750080
10114,8,454
10115,8,750083
10116,8,750004
10117,8,655
10118,15,750090
10119,15,407
10120,15,400
10121,15,454
10122,15,496
10123,15,654
10124,15,180
10125,15,3853
10126,15,3941
10127,15,38
10128,15,172
10129,15,33
10130,15,174
10131,15,175
10132,15,176
10133,16,407
10134,16,400
10135,16,454
10136,16,496
10137,16,529
10138,16,43
10139,16,11
10140,16,2160
10141,16,1952
10142,16,1674
10143,16,1535
10144,16,1326
10145,16,991
10146,16,990
10147,16,180
10148,16,3853
10149,16,247
10150,16,750091
10151,16,750004
10152,17,750090
10153,17,407
10154,17,502
10155,17,400
10156,17,455
10157,17,529
10158,17,43
10159,17,86
10160,17,180
10161,17,3853
10162,17,750091
10163,17,750080
10164,17,750004
10165,18,750090
10166,18,750011
10167,18,407
10168,18,1
10169,18,7
10170,18,9
10171,18,8
10172,18,750014
10173,18,22
10174,18,19
10175,18,17
10176,18,12
10177,18,13
10178,18,3
10179,18,21
10180,18,5
10181,18,2
10182,18,78
10183,18,11
10184,18,10
10185,18,6
10186,18,81
10187,18,79
10188,18,4008
10189,18,655
10190,18,400
10191,18,454
10192,18,529
10193,18,43
10194,18,14
10195,18,15
10196,18,180
10197,18,3853
10198,18,3874
10199,18,750091
10200,18,3941
10201,18,750004
10202,18,18
10203,18,80
10204,18,4
10205,18,20
10206,18,516
10207,7,750090
10236,4,4082
10237,6,750084
10247,56,750009
10042,6,15
10248,56,214
10245,56,65
10249,56,213
10278,58,18
10246,56,804
10279,58,7
